match_id,competition,season,match_date,home_team,away_team,home_score,away_score,competition_stage,minute,second,period,is_shootout,player_name,player_id,team_name,goalkeeper_name,body_part,technique,outcome,xg,end_x,end_y,end_z,shot_zone_horizontal,shot_zone_vertical,shot_zone,has_freeze_frame,gk_y_offset,gk_depth,ff_defenders,ff_teammates,taker_y_offset,penalty_id
68313,La Liga,2004/2005,2004-10-24,Barcelona,Osasuna,3,0,Regular Season,43,38,1,False,Ronaldo de Assis Moreira,25879,Barcelona,,Right Foot,Normal,Goal,0.7835,120.0,36.5,0.6,Left,Low,Bottom-Left,0,,,,,,68313_43_38
68317,La Liga,2005/2006,2005-10-01,Barcelona,Real Zaragoza,2,2,Regular Season,78,40,2,False,Ronaldo de Assis Moreira,25879,Barcelona,,Right Foot,Normal,Goal,0.7835,120.0,36.9,0.4,Left,Low,Bottom-Left,0,,,,,,68317_78_40
69164,La Liga,2005/2006,2005-10-26,Barcelona,Málaga,2,0,Regular Season,80,9,2,False,Ronaldo de Assis Moreira,25879,Barcelona,Francesc Arnau,Right Foot,Normal,Goal,0.7835,120.0,36.4,2.4,Left,High,Top-Left,1,-0.3,0.5,0.0,0.0,0.0,69164_80_9
68354,La Liga,2005/2006,2005-11-27,Barcelona,Racing Santander,4,1,Regular Season,3,6,1,False,Ronaldo de Assis Moreira,25879,Barcelona,Dudú Aouate,Right Foot,Normal,Saved,0.7835,119.2,38.1,0.4,Left,Low,Bottom-Left,1,-0.1,0.3,0.0,0.0,0.0,68354_3_6
68354,La Liga,2005/2006,2005-11-27,Barcelona,Racing Santander,4,1,Regular Season,56,7,2,False,Ronaldo de Assis Moreira,25879,Barcelona,,Right Foot,Normal,Goal,0.7835,120.0,36.7,2.0,Left,High,Top-Left,0,,,,,,68354_56_7
68354,La Liga,2005/2006,2005-11-27,Barcelona,Racing Santander,4,1,Regular Season,70,28,2,False,Francisco Javier Casquero Paredes,26144,Racing Santander,,Right Foot,Normal,Goal,0.7835,119.9,42.7,0.2,Right,Low,Bottom-Right,0,,,,,,68354_70_28
68322,La Liga,2005/2006,2005-12-17,Cádiz,Barcelona,1,3,Regular Season,47,1,1,False,Samuel Eto''o Fils,19298,Barcelona,,Right Foot,Normal,Goal,0.7835,120.0,37.2,1.0,Left,Mid,Mid-Left,0,,,,,,68322_47_1
68342,La Liga,2005/2006,2006-01-15,Barcelona,Athletic Club,2,1,Regular Season,37,55,1,False,Ronaldo de Assis Moreira,25879,Barcelona,,Right Foot,Normal,Goal,0.7835,120.0,42.5,0.3,Right,Low,Bottom-Right,0,,,,,,68342_37_55
68324,La Liga,2005/2006,2006-01-22,Barcelona,Deportivo Alavés,2,0,Regular Season,68,36,2,False,Ronaldo de Assis Moreira,25879,Barcelona,Franco Costanzo,Right Foot,Normal,Off T,0.7835,120.0,35.5,1.7,Left,Mid,Mid-Left,1,0.0,0.3,0.0,0.0,0.1,68324_68_36
68351,La Liga,2005/2006,2006-02-25,Real Zaragoza,Barcelona,0,2,Regular Season,79,2,2,False,Ronaldo de Assis Moreira,25879,Barcelona,César Sánchez Domínguez,Right Foot,Normal,Goal,0.7835,120.0,43.3,0.3,Right,Low,Bottom-Right,1,0.3,0.4,0.0,0.0,0.0,68351_79_2
